Date_time,Flight_Num,Airline_Name,TOWN,COUNTRY,count
2022-05-01 00:00:00,SU 1332,Aeroflot,Архангельск,Россия,2
2022-05-01 00:00:00,SU 1498,Aeroflot,Грозный,Россия,3
2022-05-01 00:00:00,SU 1486,Aeroflot,Красноярск,Россия,2
2022-05-01 00:00:00,SU 1482,Aeroflot,Красноярск,Россия,128
2022-05-01 00:00:00,SU 1478,Aeroflot,Абакан,Россия,137
2022-05-01 00:00:00,SU 1462,Aeroflot,Новосибирск,Россия,2
2022-05-01 00:00:00,SU 1444,Aeroflot,Иркутск,Россия,2
2022-05-01 00:00:00,SU 1436,Aeroflot,Екатеринбург,Россия,64
2022-05-01 00:00:00,SU 1428,Aeroflot,Магнитогорск,Россия,143
2022-05-01 00:00:00,SU 1382,Aeroflot,Ханты Мансийск,Россия,103
2022-05-01 00:00:00,SU 1366,Aeroflot,Ставрополь,Россия,1
2022-05-01 00:00:00,SU 1982,Aeroflot,Бишкек,Кыргызстан,204
2022-05-01 00:00:00,SU 1320,Aeroflot,Мурманск,Россия,2
2022-05-01 00:00:00,SU 1306,Aeroflot,Новосибирск,Россия,152
2022-05-01 00:00:00,SU 1508,Aeroflot,Тюмень,Россия,59
2022-05-01 00:00:00,SU 1244,Aeroflot,Оренбург,Россия,150
2022-05-01 00:00:00,SU 1200,Aeroflot,Пермь,Россия,2
2022-05-01 00:00:00,SU 1138,Aeroflot,Сочи,Россия,1
2022-05-01 00:00:00,SU 1122,Aeroflot,Сочи,Россия,1
2022-05-01 00:00:00,SU 1110,Aeroflot,Сочи,Россия,49
2022-05-01 00:00:00,SU 1002,Aeroflot,Калининград,Россия,1
2022-05-01 00:00:00,SU 046,Aeroflot,Санкт-Петербург,Россия,125
2022-05-01 00:00:00,SU 010,Aeroflot,Санкт-Петербург,Россия,2
2022-05-01 00:00:00,SU 006,Aeroflot,Санкт-Петербург,Россия,2
2022-05-01 00:00:00,SU 002,Aeroflot,Санкт-Петербург,Россия,5
2022-05-01 00:00:00,SU 1522,Aeroflot,Новый Уренгой,Россия,55
