Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-05-02 06:21:00,32N,73732,SU 1462,2022-05-02 06:21:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-01 20:33:00,32A,73766,SU 1548,2022-05-01 20:33:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-01 09:06:00,73H,73113,SU 1460,2022-05-01 09:06:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-03 09:05:00,73H,73115,SU 1460,2022-05-03 09:05:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-02 08:54:00,73H,73097,SU 1460,2022-05-02 08:54:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-03 01:05:00,73H,73114,SU 1306,2022-05-03 01:05:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-02 20:38:00,32A,73766,SU 1548,2022-05-02 20:38:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-03 06:19:00,32N,73734,SU 1462,2022-05-03 06:19:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-03 20:32:00,32A,73774,SU 1548,2022-05-03 20:32:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-04 00:55:00,32A,73750,SU 1306,2022-05-04 00:55:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-04 09:03:00,32N,73732,SU 1460,2022-05-04 09:03:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-07 00:56:00,73H,73126,SU 1306,2022-05-07 00:56:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-05 01:01:00,320,73740,SU 1306,2022-05-05 01:01:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-04 20:33:00,32A,73776,SU 1548,2022-05-04 20:33:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-07 09:01:00,73H,73128,SU 1460,2022-05-07 09:01:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-06 00:57:00,73H,73110,SU 1306,2022-05-06 00:57:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-06 06:14:00,32N,73730,SU 1462,2022-05-06 06:14:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-05 20:31:00,32N,73733,SU 1548,2022-05-05 20:31:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-06 08:59:00,32N,73733,SU 1460,2022-05-06 08:59:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-09 06:17:00,32N,73734,SU 1462,2022-05-09 06:17:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-06 20:38:00,32A,73756,SU 1548,2022-05-06 20:38:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-07 06:17:00,32N,73730,SU 1462,2022-05-07 06:17:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-10 00:58:00,73H,73118,SU 1306,2022-05-10 00:58:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-08 01:00:00,73H,73125,SU 1306,2022-05-08 01:00:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-07 20:33:00,32A,73781,SU 1548,2022-05-07 20:33:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-08 07:20:00,32N,73733,SU 1462,2022-05-08 07:20:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-08 09:01:00,32N,73732,SU 1460,2022-05-08 09:01:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-09 00:58:00,73H,73121,SU 1306,2022-05-09 00:58:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-08 20:31:00,32A,73781,SU 1548,2022-05-08 20:31:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-10 06:18:00,32N,73734,SU 1462,2022-05-10 06:18:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-09 22:38:00,32A,73749,SU 1548,2022-05-09 22:38:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-09 08:55:00,32A,73756,SU 1460,2022-05-09 08:55:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-11 06:25:00,32N,73734,SU 1462,2022-05-11 06:25:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-10 08:57:00,73H,73095,SU 1460,2022-05-10 08:57:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-11 09:02:00,32N,73731,SU 1460,2022-05-11 09:02:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-10 20:42:00,32A,73781,SU 1548,2022-05-10 20:42:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-11 00:55:00,73H,73102,SU 1306,2022-05-11 00:55:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-11 20:35:00,32A,73754,SU 1548,2022-05-11 20:35:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-12 09:01:00,32N,73730,SU 1460,2022-05-12 09:01:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-12 00:55:00,32A,73774,SU 1306,2022-05-12 00:55:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-12 06:11:00,32N,73732,SU 1462,2022-05-12 06:11:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
2022-05-12 20:35:00,32A,73752,SU 1548,2022-05-12 20:35:00,Новосибирск,Россия,Aeroflot,55.030204,82.92043,Москва,55.755864,37.617698
