Date,Date_time,Revenue,Place
2022-06-01,2022-06-01 00:00:00,38.4,1
2022-06-01,2022-06-01 00:00:00,241.5,27
2022-06-01,2022-06-01 00:00:00,2298.0,3
2022-06-01,2022-06-01 00:00:00,15.2,26
2022-06-01,2022-06-01 00:00:00,1392.5,25
2022-06-01,2022-06-01 00:00:00,792.6,4
2022-06-01,2022-06-01 00:00:00,686.1,24
2022-06-01,2022-06-01 00:00:00,711.2,5
2022-06-01,2022-06-01 00:00:00,3814.8,23
2022-06-01,2022-06-01 00:00:00,14.6,6
2022-06-01,2022-06-01 00:00:00,1116.4,22
2022-06-01,2022-06-01 00:00:00,1764.9,2
2022-06-01,2022-06-01 00:00:00,148.0,21
2022-06-01,2022-06-01 00:00:00,2894.4,19
2022-06-01,2022-06-01 00:00:00,2857.8,8
2022-06-01,2022-06-01 00:00:00,156.5,17
2022-06-01,2022-06-01 00:00:00,5920.0,16
2022-06-01,2022-06-01 00:00:00,3922.8,9
2022-06-01,2022-06-01 00:00:00,3373.6,15
2022-06-01,2022-06-01 00:00:00,1635.7,10
2022-06-01,2022-06-01 00:00:00,1194.2,14
2022-06-01,2022-06-01 00:00:00,534.8,11
2022-06-01,2022-06-01 00:00:00,450.0,13
2022-06-01,2022-06-01 00:00:00,1277.6,7
2022-06-01,2022-06-01 00:00:00,3401.6,28
2022-06-01,2022-06-01 00:00:00,1524.8,12
2022-06-01,2022-06-01 00:30:00,550.3,24
2022-06-01,2022-06-01 00:30:00,1347.0,7
2022-06-01,2022-06-01 00:30:00,133.4,21
2022-06-01,2022-06-01 00:30:00,2925.3,23
2022-06-01,2022-06-01 00:30:00,8.5,6
2022-06-01,2022-06-01 00:30:00,63.4,17
2022-06-01,2022-06-01 00:30:00,369.1,11
2022-06-01,2022-06-01 00:30:00,974.4,12
2022-06-01,2022-06-01 00:30:00,3826.4,16
2022-06-01,2022-06-01 00:30:00,1284.1,14
2022-06-01,2022-06-01 00:30:00,930.3,25
2022-06-01,2022-06-01 00:30:00,560.2,4
2022-06-01,2022-06-01 00:30:00,707.0,22
2022-06-01,2022-06-01 00:30:00,2374.1,9
2022-06-01,2022-06-01 00:30:00,1391.6,2
2022-06-01,2022-06-01 00:30:00,1786.2,3
2022-06-01,2022-06-01 00:30:00,0.0,26
2022-06-01,2022-06-01 00:30:00,2440.9,28
2022-06-01,2022-06-01 00:30:00,267.0,5
2022-06-01,2022-06-01 00:30:00,16.1,1
2022-06-01,2022-06-01 00:30:00,261.8,13
2022-06-01,2022-06-01 00:30:00,1914.1,15
2022-06-01,2022-06-01 00:30:00,194.4,27
2022-06-01,2022-06-01 00:30:00,1027.8,10
2022-06-01,2022-06-01 00:30:00,2056.7,19
2022-06-01,2022-06-01 00:30:00,1833.7,8
2022-06-01,2022-06-01 01:00:00,2504.4,23
2022-06-01,2022-06-01 01:00:00,990.7,2
2022-06-01,2022-06-01 01:00:00,91.8,27
2022-06-01,2022-06-01 01:00:00,66.3,17
2022-06-01,2022-06-01 01:00:00,709.8,10
2022-06-01,2022-06-01 01:00:00,1153.5,7
2022-06-01,2022-06-01 01:00:00,2417.9,16
2022-06-01,2022-06-01 01:00:00,35.4,1
2022-06-01,2022-06-01 01:00:00,0.0,21
2022-06-01,2022-06-01 01:00:00,567.5,24
2022-06-01,2022-06-01 01:00:00,20.4,6
2022-06-01,2022-06-01 01:00:00,2143.1,15
2022-06-01,2022-06-01 01:00:00,1368.6,8
2022-06-01,2022-06-01 01:00:00,380.1,14
2022-06-01,2022-06-01 01:00:00,453.5,25
2022-06-01,2022-06-01 01:00:00,408.7,13
2022-06-01,2022-06-01 01:00:00,630.8,4
2022-06-01,2022-06-01 01:00:00,1547.4,28
2022-06-01,2022-06-01 01:00:00,0.0,26
2022-06-01,2022-06-01 01:00:00,661.6,12
2022-06-01,2022-06-01 01:00:00,519.5,22
2022-06-01,2022-06-01 01:00:00,1193.5,3
2022-06-01,2022-06-01 01:00:00,1187.3,19
2022-06-01,2022-06-01 01:00:00,1745.8,9
2022-06-01,2022-06-01 01:00:00,631.6,5
2022-06-01,2022-06-01 01:00:00,256.9,11
2022-06-01,2022-06-01 01:30:00,199.3,11
2022-06-01,2022-06-01 01:30:00,434.2,12
2022-06-01,2022-06-01 01:30:00,301.0,14
2022-06-01,2022-06-01 01:30:00,954.4,7
2022-06-01,2022-06-01 01:30:00,1754.9,23
2022-06-01,2022-06-01 01:30:00,1348.6,16
2022-06-01,2022-06-01 01:30:00,0.0,21
2022-06-01,2022-06-01 01:30:00,811.9,19
2022-06-01,2022-06-01 01:30:00,26.8,1
2022-06-01,2022-06-01 01:30:00,0.0,26
2022-06-01,2022-06-01 01:30:00,1078.0,3
2022-06-01,2022-06-01 01:30:00,1227.6,15
2022-06-01,2022-06-01 01:30:00,375.7,13
2022-06-01,2022-06-01 01:30:00,503.6,5
2022-06-01,2022-06-01 01:30:00,87.4,27
2022-06-01,2022-06-01 01:30:00,506.2,24
2022-06-01,2022-06-01 01:30:00,804.0,28
2022-06-01,2022-06-01 01:30:00,953.6,8
2022-06-01,2022-06-01 01:30:00,1307.1,9
2022-06-01,2022-06-01 01:30:00,485.5,4
2022-06-01,2022-06-01 01:30:00,612.9,10
2022-06-01,2022-06-01 01:30:00,325.1,25
2022-06-01,2022-06-01 01:30:00,661.2,2
2022-06-01,2022-06-01 01:30:00,285.5,22
2022-06-01,2022-06-01 01:30:00,8.3,6
2022-06-01,2022-06-01 01:30:00,42.9,17
2022-06-01,2022-06-01 02:00:00,110.1,22
2022-06-01,2022-06-01 02:00:00,177.7,28
2022-06-01,2022-06-01 02:00:00,22.6,16
2022-06-01,2022-06-01 02:00:00,770.7,7
2022-06-01,2022-06-01 02:00:00,821.0,3
2022-06-01,2022-06-01 02:00:00,259.0,13
2022-06-01,2022-06-01 02:00:00,0.0,17
2022-06-01,2022-06-01 02:00:00,0.0,21
2022-06-01,2022-06-01 02:00:00,706.8,15
2022-06-01,2022-06-01 02:00:00,1038.8,9
2022-06-01,2022-06-01 02:00:00,413.7,19
2022-06-01,2022-06-01 02:00:00,330.7,14
2022-06-01,2022-06-01 02:00:00,231.1,25
2022-06-01,2022-06-01 02:00:00,310.1,4
2022-06-01,2022-06-01 02:00:00,1152.5,23
