Date,Date_time,Revenue,Place
2022-06-01,2022-06-01 00:00:00,34.6,1
2022-06-01,2022-06-01 00:00:00,310.0,27
2022-06-01,2022-06-01 00:00:00,2500.0,3
2022-06-01,2022-06-01 00:00:00,39.0,26
2022-06-01,2022-06-01 00:00:00,1367.1,25
2022-06-01,2022-06-01 00:00:00,930.5,4
2022-06-01,2022-06-01 00:00:00,697.8,24
2022-06-01,2022-06-01 00:00:00,834.6,5
2022-06-01,2022-06-01 00:00:00,3385.5,23
2022-06-01,2022-06-01 00:00:00,0.0,6
2022-06-01,2022-06-01 00:00:00,1018.9,22
2022-06-01,2022-06-01 00:00:00,1844.9,2
2022-06-01,2022-06-01 00:00:00,171.0,21
2022-06-01,2022-06-01 00:00:00,2657.6,19
2022-06-01,2022-06-01 00:00:00,2972.9,8
2022-06-01,2022-06-01 00:00:00,63.2,17
2022-06-01,2022-06-01 00:00:00,7595.7,16
2022-06-01,2022-06-01 00:00:00,4613.4,9
2022-06-01,2022-06-01 00:00:00,3492.9,15
2022-06-01,2022-06-01 00:00:00,1780.7,10
2022-06-01,2022-06-01 00:00:00,1171.2,14
2022-06-01,2022-06-01 00:00:00,566.1,11
2022-06-01,2022-06-01 00:00:00,702.6,13
2022-06-01,2022-06-01 00:00:00,1213.1,7
2022-06-01,2022-06-01 00:00:00,3713.6,28
2022-06-01,2022-06-01 00:00:00,1755.7,12
2022-06-01,2022-06-01 00:30:00,553.3,24
2022-06-01,2022-06-01 00:30:00,1174.9,7
2022-06-01,2022-06-01 00:30:00,67.4,21
2022-06-01,2022-06-01 00:30:00,2325.8,23
2022-06-01,2022-06-01 00:30:00,0.0,6
2022-06-01,2022-06-01 00:30:00,0.0,17
2022-06-01,2022-06-01 00:30:00,405.6,11
2022-06-01,2022-06-01 00:30:00,1144.3,12
2022-06-01,2022-06-01 00:30:00,4582.3,16
2022-06-01,2022-06-01 00:30:00,1332.1,14
2022-06-01,2022-06-01 00:30:00,1083.7,25
2022-06-01,2022-06-01 00:30:00,663.8,4
2022-06-01,2022-06-01 00:30:00,565.8,22
2022-06-01,2022-06-01 00:30:00,3016.7,9
2022-06-01,2022-06-01 00:30:00,1307.9,2
2022-06-01,2022-06-01 00:30:00,1891.3,3
2022-06-01,2022-06-01 00:30:00,55.6,26
2022-06-01,2022-06-01 00:30:00,2355.2,28
2022-06-01,2022-06-01 00:30:00,475.7,5
2022-06-01,2022-06-01 00:30:00,26.8,1
2022-06-01,2022-06-01 00:30:00,463.3,13
2022-06-01,2022-06-01 00:30:00,2337.9,15
2022-06-01,2022-06-01 00:30:00,276.1,27
2022-06-01,2022-06-01 00:30:00,1073.6,10
2022-06-01,2022-06-01 00:30:00,1504.6,19
2022-06-01,2022-06-01 00:30:00,1774.4,8
2022-06-01,2022-06-01 01:00:00,1570.8,23
2022-06-01,2022-06-01 01:00:00,990.9,2
2022-06-01,2022-06-01 01:00:00,219.4,27
2022-06-01,2022-06-01 01:00:00,0.0,17
2022-06-01,2022-06-01 01:00:00,740.5,10
2022-06-01,2022-06-01 01:00:00,1061.5,7
2022-06-01,2022-06-01 01:00:00,2731.8,16
2022-06-01,2022-06-01 01:00:00,16.8,1
2022-06-01,2022-06-01 01:00:00,0.0,21
2022-06-01,2022-06-01 01:00:00,536.9,24
2022-06-01,2022-06-01 01:00:00,0.6,6
2022-06-01,2022-06-01 01:00:00,2178.9,15
2022-06-01,2022-06-01 01:00:00,988.6,8
2022-06-01,2022-06-01 01:00:00,335.4,14
2022-06-01,2022-06-01 01:00:00,617.4,25
2022-06-01,2022-06-01 01:00:00,570.3,13
2022-06-01,2022-06-01 01:00:00,542.9,4
2022-06-01,2022-06-01 01:00:00,1298.6,28
2022-06-01,2022-06-01 01:00:00,0.0,26
2022-06-01,2022-06-01 01:00:00,736.2,12
2022-06-01,2022-06-01 01:00:00,306.1,22
2022-06-01,2022-06-01 01:00:00,1264.1,3
2022-06-01,2022-06-01 01:00:00,620.8,19
2022-06-01,2022-06-01 01:00:00,2036.9,9
2022-06-01,2022-06-01 01:00:00,841.5,5
2022-06-01,2022-06-01 01:00:00,160.4,11
