Date,Date_time,Revenue,Place
2022-06-01,2022-06-01 00:00:00,25.7,1
2022-06-01,2022-06-01 00:00:00,395.3,27
2022-06-01,2022-06-01 00:00:00,2325.1,3
2022-06-01,2022-06-01 00:00:00,31.5,26
2022-06-01,2022-06-01 00:00:00,1504.4,25
2022-06-01,2022-06-01 00:00:00,941.5,4
2022-06-01,2022-06-01 00:00:00,696.6,24
2022-06-01,2022-06-01 00:00:00,942.0,5
2022-06-01,2022-06-01 00:00:00,4843.6,23
2022-06-01,2022-06-01 00:00:00,10.7,6
2022-06-01,2022-06-01 00:00:00,922.0,22
2022-06-01,2022-06-01 00:00:00,2098.5,2
2022-06-01,2022-06-01 00:00:00,403.4,21
2022-06-01,2022-06-01 00:00:00,2570.0,19
2022-06-01,2022-06-01 00:00:00,2687.9,8
2022-06-01,2022-06-01 00:00:00,165.1,17
2022-06-01,2022-06-01 00:00:00,6313.4,16
2022-06-01,2022-06-01 00:00:00,3903.4,9
2022-06-01,2022-06-01 00:00:00,4339.0,15
2022-06-01,2022-06-01 00:00:00,1723.3,10
2022-06-01,2022-06-01 00:00:00,678.0,14
2022-06-01,2022-06-01 00:00:00,640.0,11
2022-06-01,2022-06-01 00:00:00,478.9,13
2022-06-01,2022-06-01 00:00:00,1282.7,7
2022-06-01,2022-06-01 00:00:00,4313.6,28
2022-06-01,2022-06-01 00:00:00,1666.3,12
2022-06-01,2022-06-01 00:30:00,484.9,24
2022-06-01,2022-06-01 00:30:00,1331.8,7
2022-06-01,2022-06-01 00:30:00,274.4,21
2022-06-01,2022-06-01 00:30:00,3045.6,23
2022-06-01,2022-06-01 00:30:00,11.3,6
2022-06-01,2022-06-01 00:30:00,21.3,17
2022-06-01,2022-06-01 00:30:00,385.1,11
2022-06-01,2022-06-01 00:30:00,1143.7,12
2022-06-01,2022-06-01 00:30:00,4228.1,16
2022-06-01,2022-06-01 00:30:00,1534.0,14
2022-06-01,2022-06-01 00:30:00,1113.5,25
2022-06-01,2022-06-01 00:30:00,665.0,4
2022-06-01,2022-06-01 00:30:00,632.7,22
2022-06-01,2022-06-01 00:30:00,3295.1,9
2022-06-01,2022-06-01 00:30:00,1647.5,2
2022-06-01,2022-06-01 00:30:00,1842.3,3
2022-06-01,2022-06-01 00:30:00,0.0,26
2022-06-01,2022-06-01 00:30:00,3445.4,28
2022-06-01,2022-06-01 00:30:00,522.8,5
2022-06-01,2022-06-01 00:30:00,28.3,1
2022-06-01,2022-06-01 00:30:00,312.3,13
2022-06-01,2022-06-01 00:30:00,3087.8,15
2022-06-01,2022-06-01 00:30:00,347.6,27
2022-06-01,2022-06-01 00:30:00,1180.6,10
2022-06-01,2022-06-01 00:30:00,1558.0,19
2022-06-01,2022-06-01 00:30:00,2011.8,8
2022-06-01,2022-06-01 01:00:00,2528.2,23
2022-06-01,2022-06-01 01:00:00,1340.7,2
2022-06-01,2022-06-01 01:00:00,202.5,27
2022-06-01,2022-06-01 01:00:00,56.6,17
2022-06-01,2022-06-01 01:00:00,909.4,10
2022-06-01,2022-06-01 01:00:00,1194.6,7
2022-06-01,2022-06-01 01:00:00,3118.0,16
2022-06-01,2022-06-01 01:00:00,29.5,1
2022-06-01,2022-06-01 01:00:00,211.0,21
2022-06-01,2022-06-01 01:00:00,492.8,24
2022-06-01,2022-06-01 01:00:00,19.1,6
2022-06-01,2022-06-01 01:00:00,2713.5,15
2022-06-01,2022-06-01 01:00:00,1524.1,8
2022-06-01,2022-06-01 01:00:00,346.6,14
2022-06-01,2022-06-01 01:00:00,505.3,25
2022-06-01,2022-06-01 01:00:00,364.9,13
2022-06-01,2022-06-01 01:00:00,615.1,4
2022-06-01,2022-06-01 01:00:00,2386.4,28
2022-06-01,2022-06-01 01:00:00,0.0,26
2022-06-01,2022-06-01 01:00:00,849.2,12
2022-06-01,2022-06-01 01:00:00,419.2,22
2022-06-01,2022-06-01 01:00:00,1243.0,3
2022-06-01,2022-06-01 01:00:00,1152.6,19
2022-06-01,2022-06-01 01:00:00,1773.7,9
2022-06-01,2022-06-01 01:00:00,642.1,5
2022-06-01,2022-06-01 01:00:00,265.4,11
2022-06-01,2022-06-01 01:30:00,199.7,11
2022-06-01,2022-06-01 01:30:00,863.9,12
2022-06-01,2022-06-01 01:30:00,434.6,14
2022-06-01,2022-06-01 01:30:00,847.1,7
2022-06-01,2022-06-01 01:30:00,1668.6,23
2022-06-01,2022-06-01 01:30:00,2385.1,16
2022-06-01,2022-06-01 01:30:00,176.9,21
2022-06-01,2022-06-01 01:30:00,1015.7,19
2022-06-01,2022-06-01 01:30:00,22.1,1
2022-06-01,2022-06-01 01:30:00,0.0,26
2022-06-01,2022-06-01 01:30:00,1313.7,3
2022-06-01,2022-06-01 01:30:00,1940.2,15
2022-06-01,2022-06-01 01:30:00,339.7,13
2022-06-01,2022-06-01 01:30:00,624.9,5
2022-06-01,2022-06-01 01:30:00,226.5,27
2022-06-01,2022-06-01 01:30:00,422.7,24
2022-06-01,2022-06-01 01:30:00,1601.3,28
2022-06-01,2022-06-01 01:30:00,1346.8,8
2022-06-01,2022-06-01 01:30:00,1864.7,9
2022-06-01,2022-06-01 01:30:00,634.0,4
2022-06-01,2022-06-01 01:30:00,858.7,10
2022-06-01,2022-06-01 01:30:00,549.3,25
2022-06-01,2022-06-01 01:30:00,880.3,2
2022-06-01,2022-06-01 01:30:00,307.4,22
2022-06-01,2022-06-01 01:30:00,18.6,6
2022-06-01,2022-06-01 01:30:00,23.6,17
2022-06-01,2022-06-01 02:00:00,240.8,22
2022-06-01,2022-06-01 02:00:00,880.0,28
